project_id,repo_full_name,url,default_branch,latest_sha,stars,license,created_at,updated_at,pushed_at,size_kb,archived,fork,disabled,laravel_classification,artisan,app_dir,bootstrap_dir,config_dir,routes_dir,tests_dir_initial,recent_activity,parsed_pushed_at,tests_directory_present,phpunit_config_present,phpunit_config_file,composer_json_present,composer_lock_present,composer_test_script_present,composer_test_scripts,php_version_constraint,laravel_version_constraint,dockerfile_present,compose_present,compose_files,docker_present,eligible,exclusion_reason,screening_timestamp,php_min_version,php_max_version,php_constraint_count,php_multi_version,php_environment_group,laravel_min_version,laravel_max_version,laravel_constraint_count,laravel_multi_version,laravel_environment_group,environment_group,environment_complexity,testing_mechanism,activity_year
P004,innocommerce/innoshop,https://github.com/innocommerce/innoshop,main,,,NOASSERTION,2024-06-22T02:32:33Z,2026-09-10T02:06:34Z,2026-09-07T11:53:43Z,43288.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-09-07T11:53:43+00:00,True,True,phpunit.xml,True,True,False,,^8.3,^13.0,False,False,,False,True,Eligible,2026-09-11T14:06:08.042901+00:00,8.3.0,8.3.0,1,False,PHP-8.3,13.0.0,13.0.0,1,False,Laravel-13,PHP-8.3__Laravel-13,Single constraint,PHPUnit,2026
P006,HendraGunadie/Buku-Tamu-Laravel,https://github.com/HendraGunadie/Buku-Tamu-Laravel,main,,,MIT,2025-09-20T03:52:22Z,2026-09-04T19:51:57Z,2025-09-30T04:12:15Z,1184.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2025-09-30T04:12:15+00:00,True,True,phpunit.xml,True,True,True,"test: ['@php artisan config:clear --ansi', '@php artisan test']",^8.2,^12.0,False,False,,False,True,Eligible,2026-09-11T14:06:11.709413+00:00,8.2.0,8.2.0,1,False,PHP-8.2,12.0.0,12.0.0,1,False,Laravel-12,PHP-8.2__Laravel-12,Single constraint,PHPUnit + Composer test,2025
P008,AbdallhElzayat2020/Auth_Authorize_Native,https://github.com/AbdallhElzayat2020/Auth_Authorize_Native,main,,,,2025-07-30T11:49:41Z,2025-08-08T15:39:22Z,2025-08-05T04:35:58Z,257.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2025-08-05T04:35:58+00:00,True,True,phpunit.xml,True,True,True,"test: ['@php artisan config:clear --ansi', '@php artisan test']",^8.2,^12.0,False,False,,False,True,Eligible,2026-09-11T14:06:15.529143+00:00,8.2.0,8.2.0,1,False,PHP-8.2,12.0.0,12.0.0,1,False,Laravel-12,PHP-8.2__Laravel-12,Single constraint,PHPUnit + Composer test,2025
P014,ElieRu/quick-cartel,https://github.com/ElieRu/quick-cartel,main,,,,2023-08-28T03:36:34Z,2025-12-09T13:51:32Z,2025-12-09T13:51:27Z,4949.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2025-12-09T13:51:27+00:00,True,True,phpunit.xml,True,True,False,,^8.1,^10.10,False,False,,False,True,Eligible,2026-09-11T14:06:20.457384+00:00,8.1.0,8.1.0,1,False,PHP-8.1,10.10.0,10.10.0,1,False,Laravel-10,PHP-8.1__Laravel-10,Single constraint,PHPUnit,2025
P022,michaelnjuguna/open-source-hrm,https://github.com/michaelnjuguna/open-source-hrm,main,,,MIT,2025-05-28T08:36:12Z,2026-07-18T18:17:03Z,2026-01-11T21:11:27Z,2761.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-01-11T21:11:27+00:00,True,True,phpunit.xml,True,True,True,"test: ['@php artisan config:clear --ansi', '@php artisan test']",^8.2,^12.0,False,False,,False,True,Eligible,2026-09-11T14:06:24.463972+00:00,8.2.0,8.2.0,1,False,PHP-8.2,12.0.0,12.0.0,1,False,Laravel-12,PHP-8.2__Laravel-12,Single constraint,PHPUnit + Composer test,2026
P024,RyderAsKing/Plicense,https://github.com/RyderAsKing/Plicense,main,,,MIT,2021-11-13T13:07:35Z,2026-09-06T07:58:22Z,2026-07-18T09:07:54Z,4823.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-07-18T09:07:54+00:00,True,True,phpunit.xml,True,True,True,"test: ['@php artisan config:clear --ansi @no_additional_args', '@php artisan test']",^8.3,^13.0,False,False,,False,True,Eligible,2026-09-11T14:06:28.348652+00:00,8.3.0,8.3.0,1,False,PHP-8.3,13.0.0,13.0.0,1,False,Laravel-13,PHP-8.3__Laravel-13,Single constraint,PHPUnit + Composer test,2026
P028,WajdMHeshme/E-Store-Backend,https://github.com/WajdMHeshme/E-Store-Backend,main,,,,2026-03-19T13:18:41Z,2026-08-11T17:40:44Z,2026-03-26T18:56:03Z,796.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-03-26T18:56:03+00:00,True,True,phpunit.xml,True,True,True,"test: ['@php artisan config:clear --ansi', '@php artisan test']",^8.2,^12.0,False,False,,False,True,Eligible,2026-09-11T14:06:32.105338+00:00,8.2.0,8.2.0,1,False,PHP-8.2,12.0.0,12.0.0,1,False,Laravel-12,PHP-8.2__Laravel-12,Single constraint,PHPUnit + Composer test,2026
P032,electrikmilk/astral-desktop,https://github.com/electrikmilk/astral-desktop,main,,,MIT,2025-11-24T19:23:42Z,2026-08-04T10:40:57Z,2026-08-03T23:31:06Z,5322.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-08-03T23:31:06+00:00,True,True,phpunit.xml,True,True,False,,^8.1,^10.10,False,False,,False,True,Eligible,2026-09-11T14:06:43.575766+00:00,8.1.0,8.1.0,1,False,PHP-8.1,10.10.0,10.10.0,1,False,Laravel-10,PHP-8.1__Laravel-10,Single constraint,PHPUnit,2026
P035,WINBIGFOX/TimeScribe,https://github.com/WINBIGFOX/TimeScribe,main,,,GPL-3.0,2025-01-20T19:25:11Z,2026-09-09T12:21:59Z,2026-06-02T13:28:40Z,38419.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-06-02T13:28:40+00:00,True,True,phpunit.xml,True,True,False,,^8.4,^13.12,False,False,,False,True,Eligible,2026-09-11T14:06:47.397886+00:00,8.4.0,8.4.0,1,False,PHP-8.4,13.12.0,13.12.0,1,False,Laravel-13,PHP-8.4__Laravel-13,Single constraint,PHPUnit,2026
P036,Kareem-Bizreh/E-Commerce_Platform,https://github.com/Kareem-Bizreh/E-Commerce_Platform,main,,,,2024-11-24T16:17:14Z,2026-08-01T11:10:24Z,2025-01-24T19:02:43Z,577.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2025-01-24T19:02:43+00:00,True,True,phpunit.xml,True,True,False,,^8.2,^11.31,False,False,,False,True,Eligible,2026-09-11T14:06:51.274049+00:00,8.2.0,8.2.0,1,False,PHP-8.2,11.31.0,11.31.0,1,False,Laravel-11,PHP-8.2__Laravel-11,Single constraint,PHPUnit,2025
