project_id,repo_full_name,url,default_branch,latest_sha,stars,license,created_at,updated_at,pushed_at,size_kb,archived,fork,disabled,laravel_classification,artisan,app_dir,bootstrap_dir,config_dir,routes_dir,tests_dir_initial,recent_activity,parsed_pushed_at,tests_directory_present,phpunit_config_present,phpunit_config_file,composer_json_present,composer_lock_present,composer_test_script_present,composer_test_scripts,php_version_constraint,laravel_version_constraint,dockerfile_present,compose_present,compose_files,docker_present,eligible,exclusion_reason,screening_timestamp,github_api_status,language,stars_github,forks_count,open_issues,watchers
P004,innocommerce/innoshop,https://github.com/innocommerce/innoshop,main,52eca74d34639288ad57bf4692e2c6990b6d4a3a,,NOASSERTION,2024-06-22T02:32:33Z,2026-09-15T13:39:51Z,2026-09-14T11:54:52Z,43300,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-09-07T11:53:43+00:00,True,True,phpunit.xml,True,True,False,,^8.3,^13.0,False,False,,False,True,Eligible,2026-09-11T14:06:08.042901+00:00,SUCCESS,PHP,661,193,4,661
P006,HendraGunadie/Buku-Tamu-Laravel,https://github.com/HendraGunadie/Buku-Tamu-Laravel,main,187f1008617dedccb69a4ce81ed986740d49c6d2,,MIT,2025-09-20T03:52:22Z,2026-09-04T19:51:57Z,2025-09-30T04:12:15Z,1184,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2025-09-30T04:12:15+00:00,True,True,phpunit.xml,True,True,True,"test: ['@php artisan config:clear --ansi', '@php artisan test']",^8.2,^12.0,False,False,,False,True,Eligible,2026-09-11T14:06:11.709413+00:00,SUCCESS,PHP,25,3,0,25
P008,AbdallhElzayat2020/Auth_Authorize_Native,https://github.com/AbdallhElzayat2020/Auth_Authorize_Native,main,9ea55407a0d43ec6e5d749c1977150db21e7237c,,,2025-07-30T11:49:41Z,2025-08-08T15:39:22Z,2025-08-05T04:35:58Z,257,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2025-08-05T04:35:58+00:00,True,True,phpunit.xml,True,True,True,"test: ['@php artisan config:clear --ansi', '@php artisan test']",^8.2,^12.0,False,False,,False,True,Eligible,2026-09-11T14:06:15.529143+00:00,SUCCESS,PHP,4,0,0,4
P014,ElieRu/quick-cartel,https://github.com/ElieRu/quick-cartel,main,8a61d136d35dea61cfc9106867144f72321af44d,,,2023-08-28T03:36:34Z,2025-12-09T13:51:32Z,2025-12-09T13:51:27Z,4949,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2025-12-09T13:51:27+00:00,True,True,phpunit.xml,True,True,False,,^8.1,^10.10,False,False,,False,True,Eligible,2026-09-11T14:06:20.457384+00:00,SUCCESS,PHP,2,0,0,2
P022,michaelnjuguna/open-source-hrm,https://github.com/michaelnjuguna/open-source-hrm,main,8f99131e017b25651328ea4c8bb8d3131cc87332,,MIT,2025-05-28T08:36:12Z,2026-07-18T18:17:03Z,2026-01-11T21:11:27Z,2761,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-01-11T21:11:27+00:00,True,True,phpunit.xml,True,True,True,"test: ['@php artisan config:clear --ansi', '@php artisan test']",^8.2,^12.0,False,False,,False,True,Eligible,2026-09-11T14:06:24.463972+00:00,SUCCESS,PHP,32,13,0,32
P024,RyderAsKing/Plicense,https://github.com/RyderAsKing/Plicense,main,73ec633497967a8f78ff1ab762fdaec7e8294127,,MIT,2021-11-13T13:07:35Z,2026-09-06T07:58:22Z,2026-07-18T09:07:54Z,4823,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-07-18T09:07:54+00:00,True,True,phpunit.xml,True,True,True,"test: ['@php artisan config:clear --ansi @no_additional_args', '@php artisan test']",^8.3,^13.0,False,False,,False,True,Eligible,2026-09-11T14:06:28.348652+00:00,SUCCESS,PHP,5,0,0,5
P028,WajdMHeshme/E-Store-Backend,https://github.com/WajdMHeshme/E-Store-Backend,main,53382a9846523db112611d37c9334f1f98f17fa9,,,2026-03-19T13:18:41Z,2026-08-11T17:40:44Z,2026-03-26T18:56:03Z,796,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-03-26T18:56:03+00:00,True,True,phpunit.xml,True,True,True,"test: ['@php artisan config:clear --ansi', '@php artisan test']",^8.2,^12.0,False,False,,False,True,Eligible,2026-09-11T14:06:32.105338+00:00,SUCCESS,PHP,2,0,0,2
P032,electrikmilk/astral-desktop,https://github.com/electrikmilk/astral-desktop,main,f7f74d4007c9a2aa325651929f6a402f93096d71,,MIT,2025-11-24T19:23:42Z,2026-08-04T10:40:57Z,2026-08-03T23:31:06Z,5322,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-08-03T23:31:06+00:00,True,True,phpunit.xml,True,True,False,,^8.1,^10.10,False,False,,False,True,Eligible,2026-09-11T14:06:43.575766+00:00,SUCCESS,PHP,5,0,0,5
P035,WINBIGFOX/TimeScribe,https://github.com/WINBIGFOX/TimeScribe,main,919689f7f147ab30b6b167439bd00612ea52cff8,,GPL-3.0,2025-01-20T19:25:11Z,2026-09-14T23:22:59Z,2026-09-14T20:07:03Z,38036,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-06-02T13:28:40+00:00,True,True,phpunit.xml,True,True,False,,^8.4,^13.12,False,False,,False,True,Eligible,2026-09-11T14:06:47.397886+00:00,SUCCESS,PHP,898,85,28,898
P036,Kareem-Bizreh/E-Commerce_Platform,https://github.com/Kareem-Bizreh/E-Commerce_Platform,main,7fffee8dd991c6499a256afb52c20f5398cb4d48,,,2024-11-24T16:17:14Z,2026-08-01T11:10:24Z,2025-01-24T19:02:43Z,577,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2025-01-24T19:02:43+00:00,True,True,phpunit.xml,True,True,False,,^8.2,^11.31,False,False,,False,True,Eligible,2026-09-11T14:06:51.274049+00:00,SUCCESS,PHP,6,0,0,6
