project_id,repo_full_name,url,stars,license_x,created_at,size_kb_x,archived_x,fork_x,disabled_x,laravel_classification,artisan,app_dir,bootstrap_dir,config_dir,routes_dir,tests_dir_initial,recent_activity,parsed_pushed_at,tests_directory_present,phpunit_config_present,phpunit_config_file,composer_json_present,composer_lock_present,composer_test_script_present,composer_test_scripts,php_version_constraint,laravel_version_constraint,dockerfile_present,compose_present,compose_files,docker_present,eligible,exclusion_reason,screening_timestamp,latest_sha,pushed_at,updated_at,default_branch,github_api_status,archived_y,fork_y,disabled_y,language,license_y,stars_github,forks_count,open_issues,watchers,size_kb_y,environment_group
P4235,Abdallah01win/StarterApi,https://github.com/Abdallah01win/StarterApi,,MIT,2025-04-12T06:30:07Z,1232.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-09-08T18:11:32+00:00,True,True,phpunit.xml,True,True,False,,^8.2,^12.0,False,False,,False,True,Eligible,2026-09-11T15:04:45.905326+00:00,4a62ed3e1b2d2ba2daf027c0a95306366e4b699d,2026-09-14T15:54:18Z,2026-09-08T18:12:11Z,dev,SUCCESS,False,False,False,PHP,MIT,4,0,5,4,1539,^8.2__^12.0
P688,404NotFoundIndonesia/raktrek,https://github.com/404NotFoundIndonesia/raktrek,,MIT,2023-08-24T14:09:44Z,3603.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-05-13T23:21:15+00:00,True,True,phpunit.xml,True,True,False,,^8.1,^10.10,False,False,,False,True,Eligible,2026-09-11T14:16:18.973402+00:00,e00aa117fe3f702e443c396fb2174395e9e23961,2026-05-13T23:21:15Z,2026-05-13T23:21:18Z,main,SUCCESS,False,False,False,PHP,MIT,2,0,0,2,3603,^8.1__^10.10
P1020,Devsome/silkpanel-cms,https://github.com/Devsome/silkpanel-cms,,NOASSERTION,2026-02-03T21:19:43Z,295218.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-09-07T23:26:17+00:00,True,True,phpunit.xml,True,True,True,"test: ['@php artisan config:clear --ansi', '@php artisan test']",^8.3,^13.0,False,False,,False,True,Eligible,2026-09-11T14:20:32.737487+00:00,b96680a6710cf63c5c7be953b70db2d848284caf,2026-09-07T23:26:17Z,2026-09-07T23:26:22Z,master,SUCCESS,False,False,False,PHP,NOASSERTION,5,0,3,5,295218,^8.3__^13.0
P3381,1nFrastr/likeadmin_laravel,https://github.com/1nFrastr/likeadmin_laravel,,,2024-11-02T08:30:24Z,5234.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2025-09-14T18:25:51+00:00,True,True,phpunit.xml,True,True,False,,^8.2,^11.9,False,False,,False,True,Eligible,2026-09-11T14:53:18.612370+00:00,5d71e27c3868b598648d7653657737b92f58988a,2025-09-14T18:25:51Z,2026-07-30T14:59:30Z,main,SUCCESS,False,False,False,PHP,,72,13,1,72,5234,^8.2__^11.9
P3135,0xd011f4ce/OurSpace,https://github.com/0xd011f4ce/OurSpace,,GPL-3.0,2024-12-25T22:52:16Z,869.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2025-01-13T02:38:07+00:00,True,True,phpunit.xml,True,True,False,,^8.2,^11.31,False,False,,False,True,Eligible,2026-09-11T14:50:30.322671+00:00,c7b7ae5bacdde439bc8308ac1113dfcd566e4275,2025-01-13T02:38:07Z,2026-09-09T16:15:15Z,main,SUCCESS,False,False,False,PHP,GPL-3.0,3,3,0,3,869,^8.2__^11.31
P2259,BaseMax/LaravelTaskDDD,https://github.com/BaseMax/LaravelTaskDDD,,,2023-03-15T21:44:51Z,836.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-09-02T16:59:50+00:00,True,True,phpunit.xml,True,True,False,,^8.1,^10.0,False,False,,False,True,Eligible,2026-09-11T14:37:41.168332+00:00,0aa34df6c65445b515577bc5425338c9afc05644,2026-09-02T16:59:50Z,2026-09-02T17:03:50Z,main,SUCCESS,False,False,False,PHP,,3,1,0,3,836,^8.1__^10.0
P1943,AhmadIkbalDjaya/momentum,https://github.com/AhmadIkbalDjaya/momentum,,,2024-05-24T10:51:10Z,15387.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-06-26T13:43:52+00:00,True,True,phpunit.xml,True,True,False,,^8.2,^11.0,False,False,,False,True,Eligible,2026-09-11T14:32:56.085292+00:00,6a539c4111180074be11baaeb3fad93229b37286,2026-06-26T13:43:52Z,2026-06-26T13:43:58Z,main,SUCCESS,False,False,False,PHP,,2,1,0,2,15387,^8.2__^11.0
P4227,2KAbhishek/lacrud,https://github.com/2KAbhishek/lacrud,,GPL-3.0,2022-10-30T16:29:24Z,231.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-02-27T07:45:00+00:00,True,True,phpunit.xml,True,True,False,,^8.0.2,^9.19,False,False,,False,True,Eligible,2026-09-11T15:04:38.640349+00:00,906dba0d2edfd1119c218867877a4dad20b4ff76,2026-02-27T07:45:00Z,2026-02-27T07:44:58Z,main,SUCCESS,False,False,False,PHP,GPL-3.0,2,0,0,2,231,^8.0.2__^9.19
P2001,Dziennik-Azayaka/azayaka,https://github.com/Dziennik-Azayaka/azayaka,,AGPL-3.0,2025-07-01T10:39:28Z,1126.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-09-04T17:31:07+00:00,True,True,phpunit.xml,True,True,True,"test: ['@php artisan config:clear --ansi', '@php artisan test']",^8.3,^12.0,False,False,,False,True,Eligible,2026-09-11T14:33:42.389928+00:00,7969910e52bd6cfa87fc4d45c1e8315d5e9c367f,2026-09-04T17:31:07Z,2026-09-06T12:42:12Z,master,SUCCESS,False,False,False,PHP,AGPL-3.0,24,1,3,24,1126,^8.3__^12.0
P145,Cut0x/forum-php,https://github.com/Cut0x/forum-php,,NOASSERTION,2026-02-05T17:11:49Z,1091.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-08-28T19:31:27+00:00,True,True,phpunit.xml,True,True,True,"test: ['@php artisan config:clear --ansi @no_additional_args', '@php artisan test']",^8.3,^13.8,False,False,,False,True,Eligible,2026-09-11T14:08:17.710962+00:00,cd4df2352fe9537d3a898ba89d76d0387b263161,2026-08-28T19:31:27Z,2026-08-28T18:26:24Z,main,SUCCESS,False,False,False,PHP,NOASSERTION,2,0,0,2,1091,^8.3__^13.8
