repo_full_name,url,latest_sha,environment_group,php_version_constraint,laravel_version_constraint,clone_status,checkout_status,composer_json,php_extensions,test_command,test_command_source,php_available,composer_available,composer_install,test_execution,failure_category,failure_detail,reproducibility_status,tested_at
Abdallah01win/StarterApi,https://github.com/Abdallah01win/StarterApi,4a62ed3e1b2d2ba2daf027c0a95306366e4b699d,^8.2__^12.0,^8.2,^12.0,PASS,PASS,True,,vendor/bin/phpunit,PHPUnit configuration detected,False,False,BLOCKED,BLOCKED,INFRASTRUCTURE,"Required command(s) unavailable: php, composer. This is an HPC environment limitation, not a repository failure.",PARTIALLY REPRODUCIBLE,2026-09-16T07:39:43.816015+00:00
404NotFoundIndonesia/raktrek,https://github.com/404NotFoundIndonesia/raktrek,e00aa117fe3f702e443c396fb2174395e9e23961,^8.1__^10.10,^8.1,^10.10,PASS,PASS,True,,vendor/bin/phpunit,PHPUnit configuration detected,False,False,BLOCKED,BLOCKED,INFRASTRUCTURE,"Required command(s) unavailable: php, composer. This is an HPC environment limitation, not a repository failure.",PARTIALLY REPRODUCIBLE,2026-09-16T07:39:48.177058+00:00
Devsome/silkpanel-cms,https://github.com/Devsome/silkpanel-cms,b96680a6710cf63c5c7be953b70db2d848284caf,^8.3__^13.0,^8.3,^13.0,PASS,PASS,True,,composer run test,@php artisan config:clear --ansi && @php artisan test,False,False,BLOCKED,BLOCKED,INFRASTRUCTURE,"Required command(s) unavailable: php, composer. This is an HPC environment limitation, not a repository failure.",PARTIALLY REPRODUCIBLE,2026-09-16T07:39:56.367247+00:00
1nFrastr/likeadmin_laravel,https://github.com/1nFrastr/likeadmin_laravel,5d71e27c3868b598648d7653657737b92f58988a,^8.2__^11.9,^8.2,^11.9,PASS,PASS,True,,vendor/bin/phpunit,PHPUnit configuration detected,False,False,BLOCKED,BLOCKED,INFRASTRUCTURE,"Required command(s) unavailable: php, composer. This is an HPC environment limitation, not a repository failure.",PARTIALLY REPRODUCIBLE,2026-09-16T07:51:00.181927+00:00
0xd011f4ce/OurSpace,https://github.com/0xd011f4ce/OurSpace,c7b7ae5bacdde439bc8308ac1113dfcd566e4275,^8.2__^11.31,^8.2,^11.31,PASS,PASS,True,,vendor/bin/phpunit,PHPUnit configuration detected,False,False,BLOCKED,BLOCKED,INFRASTRUCTURE,"Required command(s) unavailable: php, composer. This is an HPC environment limitation, not a repository failure.",PARTIALLY REPRODUCIBLE,2026-09-16T07:51:14.362857+00:00
BaseMax/LaravelTaskDDD,https://github.com/BaseMax/LaravelTaskDDD,0aa34df6c65445b515577bc5425338c9afc05644,^8.1__^10.0,^8.1,^10.0,PASS,PASS,True,,vendor/bin/phpunit,PHPUnit configuration detected,False,False,BLOCKED,BLOCKED,INFRASTRUCTURE,"Required command(s) unavailable: php, composer. This is an HPC environment limitation, not a repository failure.",PARTIALLY REPRODUCIBLE,2026-09-16T07:51:15.967759+00:00
AhmadIkbalDjaya/momentum,https://github.com/AhmadIkbalDjaya/momentum,6a539c4111180074be11baaeb3fad93229b37286,^8.2__^11.0,^8.2,^11.0,PASS,PASS,True,,vendor/bin/phpunit,PHPUnit configuration detected,False,False,BLOCKED,BLOCKED,INFRASTRUCTURE,"Required command(s) unavailable: php, composer. This is an HPC environment limitation, not a repository failure.",PARTIALLY REPRODUCIBLE,2026-09-16T07:51:17.924545+00:00
2KAbhishek/lacrud,https://github.com/2KAbhishek/lacrud,906dba0d2edfd1119c218867877a4dad20b4ff76,^8.0.2__^9.19,^8.0.2,^9.19,PASS,PASS,True,,vendor/bin/phpunit,PHPUnit configuration detected,False,False,BLOCKED,BLOCKED,INFRASTRUCTURE,"Required command(s) unavailable: php, composer. This is an HPC environment limitation, not a repository failure.",PARTIALLY REPRODUCIBLE,2026-09-16T07:52:00.642909+00:00
Dziennik-Azayaka/azayaka,https://github.com/Dziennik-Azayaka/azayaka,7969910e52bd6cfa87fc4d45c1e8315d5e9c367f,^8.3__^12.0,^8.3,^12.0,PASS,PASS,True,"ext-dom, ext-xsl",composer run test,@php artisan config:clear --ansi && @php artisan test,False,False,BLOCKED,BLOCKED,INFRASTRUCTURE,"Required command(s) unavailable: php, composer. This is an HPC environment limitation, not a repository failure.",PARTIALLY REPRODUCIBLE,2026-09-16T07:52:02.176186+00:00
Cut0x/forum-php,https://github.com/Cut0x/forum-php,cd4df2352fe9537d3a898ba89d76d0387b263161,^8.3__^13.8,^8.3,^13.8,PASS,PASS,True,,composer run test,@php artisan config:clear --ansi @no_additional_args && @php artisan test,False,False,BLOCKED,BLOCKED,INFRASTRUCTURE,"Required command(s) unavailable: php, composer. This is an HPC environment limitation, not a repository failure.",PARTIALLY REPRODUCIBLE,2026-09-16T07:52:05.322189+00:00
