artifact,repo_full_name,commit_sha,requested_php,operating_system,runtime_available,composer_available,composer_install,composer_exit_code,test_command,test_exit_code,test_timeout,failure_stage,failure_category,reproducibility_status,started_at,completed_at,duration_seconds
reproducibility-4,0xd011f4ce/OurSpace,c7b7ae5bacdde439bc8308ac1113dfcd566e4275,8.2,ubuntu-22.04,True,,,0,vendor/bin/phpunit,2,False,test_execution,TEST_FAILURE,NON_REPRODUCIBLE,,,
reproducibility-3,1nFrastr/likeadmin_laravel,5d71e27c3868b598648d7653657737b92f58988a,8.2,ubuntu-22.04,True,,,0,vendor/bin/phpunit,1,False,test_execution,TEST_FAILURE,NON_REPRODUCIBLE,,,
reproducibility-7,2KAbhishek/lacrud,906dba0d2edfd1119c218867877a4dad20b4ff76,8.0,ubuntu-22.04,True,,,0,vendor/bin/phpunit,2,False,test_execution,TEST_FAILURE,NON_REPRODUCIBLE,,,
reproducibility-19,AKAME007/dashboard,4752d9c57818e96bc75b83ca3b8cd90b2701f388,7.4,ubuntu-22.04,True,,,0,vendor/bin/phpunit,2,False,test_execution,TEST_FAILURE,NON_REPRODUCIBLE,,,
reproducibility-15,AKAME007/laravel-vue-cli-3,f3a4e5d75cd97ea98008affb14db65446f4fed6b,7.4,ubuntu-22.04,True,,,0,vendor/bin/phpunit,2,False,test_execution,TEST_FAILURE,NON_REPRODUCIBLE,,,
reproducibility-0,Abdallah01win/StarterApi,4a62ed3e1b2d2ba2daf027c0a95306366e4b699d,8.2,ubuntu-22.04,True,,,0,vendor/bin/phpunit,1,False,test_execution,TEST_FAILURE,NON_REPRODUCIBLE,,,
reproducibility-6,AhmadIkbalDjaya/momentum,6a539c4111180074be11baaeb3fad93229b37286,8.2,ubuntu-22.04,True,,,2,,30,False,dependency_installation,COMPOSER,NON_REPRODUCIBLE,,,
reproducibility-14,AkibaAT/fvn.li,afc2ea11b6edbf5203543275164a8767b88aad93,8.5,ubuntu-22.04,True,,,0,composer run test,2,False,test_execution,TEST_FAILURE,NON_REPRODUCIBLE,,,
reproducibility-5,BaseMax/LaravelTaskDDD,0aa34df6c65445b515577bc5425338c9afc05644,8.1,ubuntu-22.04,True,,,0,vendor/bin/phpunit,2,False,test_execution,TEST_FAILURE,NON_REPRODUCIBLE,,,
reproducibility-11,CholitaApp/cholita,8e88ebc6f80504a1c0c43772383dbdb8fbb3208a,8.4,ubuntu-22.04,True,,,0,vendor/bin/phpunit,2,False,test_execution,TEST_FAILURE,NON_REPRODUCIBLE,,,
reproducibility-9,Cut0x/forum-php,cd4df2352fe9537d3a898ba89d76d0387b263161,8.3,ubuntu-22.04,True,,,0,composer run test,2,False,test_execution,TEST_FAILURE,NON_REPRODUCIBLE,,,
reproducibility-2,Devsome/silkpanel-cms,b96680a6710cf63c5c7be953b70db2d848284caf,8.3,ubuntu-22.04,True,,,0,composer run test,2,False,test_execution,TEST_FAILURE,NON_REPRODUCIBLE,,,
reproducibility-8,Dziennik-Azayaka/azayaka,7969910e52bd6cfa87fc4d45c1e8315d5e9c367f,8.3,ubuntu-22.04,True,,,2,composer run test,30,False,dependency_installation,COMPOSER,NON_REPRODUCIBLE,,,
reproducibility-12,Helg18/megadownloaderrobot,e18a2174f777bfbc75c2971d8ca853dcd7cf88d1,7.4,ubuntu-22.04,True,,,0,vendor/bin/phpunit,2,False,test_execution,TEST_FAILURE,NON_REPRODUCIBLE,,,
reproducibility-10,HolgerHatGarKeineNode/einundzwanzig-portal,31702cfc14169ea26ecd1e2432ba32208215a39f,8.4,ubuntu-22.04,True,,,100,composer run test,255,False,dependency_installation,COMPOSER,NON_REPRODUCIBLE,,,
reproducibility-18,HugoJF/csgo-servers-admin-panel,ee32ca5a13cdcdd169c59ae8d17dc74a9577b137,5.6,ubuntu-22.04,True,,,0,vendor/bin/phpunit,2,False,test_execution,TEST_FAILURE,NON_REPRODUCIBLE,,,
reproducibility-16,MateusHuebra/Termogram-bot,ff7ae90ba59ab68dc34b9ff8cee8b9d618f4bd81,7.4,ubuntu-22.04,True,,,0,vendor/bin/phpunit,2,False,test_execution,TEST_FAILURE,NON_REPRODUCIBLE,,,
reproducibility-17,MelonSmasher/Chocolatier,61c71f1fa2c98397cbe897637d48562175406cd7,7.4,ubuntu-22.04,True,,,1,,30,False,dependency_installation,COMPOSER,NON_REPRODUCIBLE,,,
