repo_full_name,requested_php,test_command,failure_stage,failure_category,failure_subcategory,reproducibility_status,composer_exit_code,test_exit_code,latest_sha
Abdallah01win/StarterApi,8.2,vendor/bin/phpunit,test_execution,TEST_FAILURE,TEST_COMMAND_MISMATCH,NON_REPRODUCIBLE,0,1,4a62ed3e1b2d2ba2daf027c0a95306366e4b699d
404NotFoundIndonesia/raktrek,8.1,vendor/bin/phpunit,,,,REPRODUCIBLE,0,0,e00aa117fe3f702e443c396fb2174395e9e23961
HolgerHatGarKeineNode/einundzwanzig-portal,8.4,composer run test,dependency_installation,COMPOSER,PRIVATE_PACKAGE_AUTHENTICATION,NON_REPRODUCIBLE,100,255,31702cfc14169ea26ecd1e2432ba32208215a39f
CholitaApp/cholita,8.4,vendor/bin/phpunit,test_execution,TEST_FAILURE,DATABASE_CONFIGURATION_OR_DATABASE_FAILURE,NON_REPRODUCIBLE,0,2,8e88ebc6f80504a1c0c43772383dbdb8fbb3208a
Helg18/megadownloaderrobot,7.4,vendor/bin/phpunit,test_execution,TEST_FAILURE,APPLICATION_CONFIGURATION,NON_REPRODUCIBLE,0,2,e18a2174f777bfbc75c2971d8ca853dcd7cf88d1
BaseMax/FirstLaravelAPI,7.4,vendor/bin/phpunit,,,,REPRODUCIBLE,0,0,13cb2b0cf0720114577ddc1839b931306156a084
AkibaAT/fvn.li,8.5,composer run test,test_execution,TEST_FAILURE,DATABASE_CONFIGURATION_OR_DATABASE_FAILURE,NON_REPRODUCIBLE,0,2,afc2ea11b6edbf5203543275164a8767b88aad93
AKAME007/laravel-vue-cli-3,7.4,vendor/bin/phpunit,test_execution,TEST_FAILURE,APPLICATION_BOOTSTRAP_FAILURE,NON_REPRODUCIBLE,0,2,f3a4e5d75cd97ea98008affb14db65446f4fed6b
MateusHuebra/Termogram-bot,7.4,vendor/bin/phpunit,test_execution,TEST_FAILURE,APPLICATION_CONFIGURATION,NON_REPRODUCIBLE,0,2,ff7ae90ba59ab68dc34b9ff8cee8b9d618f4bd81
MelonSmasher/Chocolatier,7.4,,dependency_installation,COMPOSER,INVALID_COMPOSER_PACKAGE_NAME,NON_REPRODUCIBLE,1,30,61c71f1fa2c98397cbe897637d48562175406cd7
HugoJF/csgo-servers-admin-panel,5.6,vendor/bin/phpunit,test_execution,TEST_FAILURE,CRYPTOGRAPHIC_CONFIGURATION,NON_REPRODUCIBLE,0,2,ee32ca5a13cdcdd169c59ae8d17dc74a9577b137
AKAME007/dashboard,7.4,vendor/bin/phpunit,test_execution,TEST_FAILURE,DATABASE_CONNECTION_REFUSED,NON_REPRODUCIBLE,0,2,4752d9c57818e96bc75b83ca3b8cd90b2701f388
Devsome/silkpanel-cms,8.3,composer run test,test_execution,TEST_FAILURE,APPLICATION_CONFIGURATION,NON_REPRODUCIBLE,0,2,b96680a6710cf63c5c7be953b70db2d848284caf
1nFrastr/likeadmin_laravel,8.2,vendor/bin/phpunit,test_execution,TEST_FAILURE,TEST_COMMAND_MISMATCH,NON_REPRODUCIBLE,0,1,5d71e27c3868b598648d7653657737b92f58988a
0xd011f4ce/OurSpace,8.2,vendor/bin/phpunit,test_execution,TEST_FAILURE,APPLICATION_CONFIGURATION,NON_REPRODUCIBLE,0,2,c7b7ae5bacdde439bc8308ac1113dfcd566e4275
BaseMax/LaravelTaskDDD,8.1,vendor/bin/phpunit,test_execution,TEST_FAILURE,APPLICATION_CONFIGURATION,NON_REPRODUCIBLE,0,2,0aa34df6c65445b515577bc5425338c9afc05644
AhmadIkbalDjaya/momentum,8.2,,dependency_installation,COMPOSER,LOCKFILE_PHP_VERSION_MISMATCH,NON_REPRODUCIBLE,2,30,6a539c4111180074be11baaeb3fad93229b37286
2KAbhishek/lacrud,8.0,vendor/bin/phpunit,test_execution,TEST_FAILURE,APPLICATION_CONFIGURATION,NON_REPRODUCIBLE,0,2,906dba0d2edfd1119c218867877a4dad20b4ff76
Dziennik-Azayaka/azayaka,8.3,composer run test,dependency_installation,COMPOSER,LOCKFILE_PHP_VERSION_MISMATCH,NON_REPRODUCIBLE,2,30,7969910e52bd6cfa87fc4d45c1e8315d5e9c367f
Cut0x/forum-php,8.3,composer run test,test_execution,TEST_FAILURE,APPLICATION_CONFIGURATION,NON_REPRODUCIBLE,0,2,cd4df2352fe9537d3a898ba89d76d0387b263161
